EM_EVENTPROBABILITY,age,EM_CLASSIFICATION,base_monthly_rate_phone,EM_PROBABILITY,data_consumption,phone_balance,phone_price,time_since_complaints,time_since_technical_problems,total_complaints,total_data_consumption,total_technical_problems,total_text_consumption,total_voice_consumption,voice_consumption,promo,workphone,base_monthly_rate_plan,data,plan_type,P_churn_in_12False,P_churn_in_12True,I_churn_in_12,_WARN_,family_id,period_id,id,active,text_consumption,technical_problem,complaints,total_voice_overage_fees,total_data_overage_fees,total_overage_fees,time_since_voice_overage,time_since_data_overage,time_since_overage,gender,unlimited_voice,voice_minutes,unlimited_text,churn_in_12,unique_id
0.061446101,48,FALSE,28.25,0.938553899,1.849,339,678,2,5,4,20.8,1,4398,953.863,67.105,TRUE,FALSE,43.1,3,rent,0.938553899,0.061446101,FALSE,,10506,96,15766,TRUE,392,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15766_10506_96
0.062577325,40,FALSE,15.571,0.937422675,2.405,347.003,533.85,5,8,1,26.704,2,5107,543.884,42.653,FALSE,FALSE,48.5,5,rent,0.937422675,0.062577325,FALSE,,10507,96,15767,TRUE,280,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,TRUE,15767_10507_96
0.125356749,72,FALSE,2.518,0.874643251,0,90.637,120.85,6,0,2,0,7,8,2969.907,202.515,FALSE,FALSE,35,0,rent,0.874643251,0.125356749,FALSE,,10508,96,15768,TRUE,1,1,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15768_10508_96
0.185308447,59,FALSE,0,0.814691553,0.951,0,           .,3,0,3,10.317,4,2617,1905.045,163.197,FALSE,FALSE,40.4,2,bring,0.814691553,0.185308447,FALSE,M,10508,96,15770,TRUE,167,2,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,TRUE,15770_10508_96
0.068429137,55,FALSE,22.861,0.931570863,1.049,411.504,685.84,0,0,2,13.368,6,3902,1966.672,137.637,FALSE,FALSE,40.4,2,rent,0.931570863,0.068429137,FALSE,,10508,96,15771,TRUE,217,1,1,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15771_10508_96
0.177313056,64,FALSE,0,0.822686944,2.013,0,           .,10,6,1,25.007,2,5312,2720.234,282.561,FALSE,FALSE,43.1,3,bring,0.822686944,0.177313056,FALSE,M,10509,96,15772,TRUE,398,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15772_10509_96
0.062839013,51,FALSE,25.606,0.937160987,1.855,375.556,682.83,12,2,1,20.798,3,5352,1512.638,97.225,FALSE,FALSE,48.5,5,rent,0.937160987,0.062839013,FALSE,,10510,96,15773,TRUE,218,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15773_10510_96
0.078882316,46,FALSE,0,0.921117684,1.498,0,678.38,4,0,1,23.923,4,2956,1593.13,118.197,FALSE,FALSE,48.5,5,buy,0.921117684,0.078882316,FALSE,,10510,96,15774,TRUE,209,1,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15774_10510_96
0.086108955,68,FALSE,0,0.913891045,0.107,0,206.21,4,4,2,1.912,2,391,2673.502,184.863,FALSE,FALSE,37.7,1,buy,0.913891045,0.086108955,FALSE,,10511,96,15775,TRUE,29,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15775_10511_96
0.063137721,64,FALSE,11.853,0.936862279,0.543,426.72,568.96,5,10,4,10.816,2,1793,2086.705,153.37,FALSE,FALSE,40.4,2,rent,0.936862279,0.063137721,FALSE,,10511,96,15776,TRUE,132,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15776_10511_96
